# dd or fd prefixed. (for dd REGISTER=IX, for fd REGISTER=IY)
# all codes that dont shown here are mirrored from not prefixed codes (ie dd01=01=ld bc,@)

0x09="ADD REGISTER,BC"             t="15"
0x19="ADD REGISTER,DE"             t="15"
0x21="LD REGISTER,@"            t="14"
0x22="LD (@),REGISTER"          t="20"   wr="14,17"
0x23="INC REGISTER"                t="10"
0x24="INC REGISTERH"               t="8"
0x25="DEC REGISTERH"               t="8"
0x26="LD REGISTERH,#"             t="11"
0x29="ADD REGISTER,REGISTER"       t="15"
0x2a="LD REGISTER,(@)"          t="20"   rd="14,17"
0x2b="DEC REGISTER"                t="10"
0x2c="INC REGISTERL"               t="8"
0x2d="DEC REGISTERL"               t="8"
0x2e="LD REGISTERL,#"             t="11"
0x34="INC (REGISTER+$)"           t="23"   rd="16"   wr="20"
0x35="DEC (REGISTER+$)"           t="23"   rd="16"   wr="20"
0x36="LD (REGISTER+$),#"         t="19"   wr="16"
0x39="ADD REGISTER,SP"             t="15"
0x44="LD B,REGISTERH"              t="8"
0x45="LD B,REGISTERL"              t="8"
0x46="LD B,(REGISTER+$)"          t="19"   rd="16"
0x4c="LD C,REGISTERH"              t="8"
0x4d="LD C,REGISTERL"              t="8"
0x4e="LD C,(REGISTER+$)"          t="19"   rd="16"
0x54="LD D,REGISTERH"              t="8"
0x55="LD D,REGISTERL"              t="8"
0x56="LD D,(REGISTER+$)"          t="19"   rd="16"
0x5c="LD E,REGISTERH"              t="8"
0x5d="LD E,REGISTERL"              t="8"
0x5e="LD E,(REGISTER+$)"          t="19"   rd="16"
0x60="LD REGISTERH,B"              t="8"
0x61="LD REGISTERH,C"              t="8"
0x62="LD REGISTERH,D"              t="8"
0x63="LD REGISTERH,E"              t="8"
0x64="LD REGISTERH,REGISTERH"      t="8"
0x65="LD REGISTERH,REGISTERL"      t="8"
0x66="LD H,(REGISTER+$)"          t="19"   rd="16"
0x67="LD REGISTERH,A"              t="8"
0x68="LD REGISTERL,B"              t="8"
0x69="LD REGISTERL,C"              t="8"
0x6a="LD REGISTERL,D"              t="8"
0x6b="LD REGISTERL,E"              t="8"
0x6c="LD REGISTERL,REGISTERH"      t="8"
0x6d="LD REGISTERL,REGISTERL"      t="8"
0x6e="LD L,(REGISTER+$)"          t="19"   rd="16"
0x6f="LD REGISTERL,A"              t="8"
0x70="LD (REGISTER+$),B"          t="19"   wr="16"
0x71="LD (REGISTER+$),C"          t="19"   wr="16"
0x72="LD (REGISTER+$),D"          t="19"   wr="16"
0x73="LD (REGISTER+$),E"          t="19"   wr="16"
0x74="LD (REGISTER+$),H"          t="19"   wr="16"
0x75="LD (REGISTER+$),L"          t="19"   wr="16"
0x77="LD (REGISTER+$),A"          t="19"   wr="16"
0x7c="LD A,REGISTERH"              t="8"
0x7d="LD A,REGISTERL"              t="8"
0x7e="LD A,(REGISTER+$)"          t="19"   rd="16"
0x84="ADD A,REGISTERH"             t="8"
0x85="ADD A,REGISTERL"             t="8"
0x86="ADD A,(REGISTER+$)"         t="19"   rd="16"
0x8c="ADC A,REGISTERH"             t="8"
0x8d="ADC A,REGISTERL"             t="8"
0x8e="ADC A,(REGISTER+$)"         t="19"   rd="16"
0x94="SUB REGISTERH"             t="8"
0x95="SUB REGISTERL"             t="8"
0x96="SUB (REGISTER+$)"         t="19"   rd="16"
0x9c="SBC A,REGISTERH"             t="8"
0x9d="SBC A,REGISTERL"             t="8"
0x9e="SBC A,(REGISTER+$)"         t="19"   rd="16"
0xa4="AND REGISTERH"             t="8"
0xa5="AND REGISTERL"             t="8"
0xa6="AND (REGISTER+$)"         t="19"   rd="16"
0xac="XOR REGISTERH"             t="8"
0xad="XOR REGISTERL"             t="8"
0xae="XOR (REGISTER+$)"         t="19"   rd="16"
0xb4="OR REGISTERH"              t="8"
0xb5="OR REGISTERL"              t="8"
0xb6="OR (REGISTER+$)"          t="19"   rd="16"
0xbc="CP REGISTERH"              t="8"
0xbd="CP REGISTERL"              t="8"
0xbe="CP (REGISTER+$)"          t="19"   rd="16"
0xcb="shift CB"                    t="0"
0xdd="ignore"                      t="4"
0xe1="POP REGISTER"                t="14"   rd="8,11"
0xe3="EX (SP),REGISTER"            t="23"   rd="8,11"   wr="15,18"
0xe5="PUSH REGISTER"               t="15"   wr="9,12"
0xe9="JP REGISTER"                 t="8"
0xed="reset ED"                    t="4"
0xf9="LD SP,REGISTER"              t="10"
0xfd="ignore"                      t="4"
